epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3405.55,1.18379,1.032,1.39834,0.77435,0.8071,0.84742,0.53979,1.21094,0.83491,1.49423,0.0011882,0.0011882,0.0011882
43,3479.77,1.17311,1.01151,1.39868,0.79427,0.79184,0.84232,0.52201,1.24798,0.86873,1.52197,0.0011684,0.0011684,0.0011684
44,3554.06,1.17234,0.99557,1.38748,0.8339,0.81262,0.87605,0.56942,1.15979,0.79332,1.45203,0.0011486,0.0011486,0.0011486
45,3644.3,1.15904,0.99334,1.38016,0.79073,0.8082,0.8575,0.557,1.16451,0.82961,1.462,0.0011288,0.0011288,0.0011288
46,3729.22,1.16344,0.98977,1.38301,0.83536,0.78192,0.85195,0.55728,1.16548,0.81944,1.46051,0.001109,0.001109,0.001109
47,3801.92,1.15936,0.97932,1.37801,0.82598,0.79379,0.86241,0.55988,1.1806,0.82295,1.47267,0.0010892,0.0010892,0.0010892
48,3874.51,1.14571,0.96024,1.36468,0.81212,0.79712,0.85695,0.55141,1.18137,0.84173,1.47083,0.0010694,0.0010694,0.0010694
49,3947.66,1.13926,0.94524,1.35921,0.79606,0.83519,0.87794,0.57151,1.16189,0.79206,1.4514,0.0010496,0.0010496,0.0010496
50,4019.87,1.134,0.95886,1.35908,0.81522,0.83152,0.88342,0.56777,1.17872,0.77798,1.46682,0.0010298,0.0010298,0.0010298
51,4093.27,1.13202,0.94107,1.35227,0.83003,0.8204,0.86287,0.56632,1.15605,0.80106,1.4695,0.00101,0.00101,0.00101
52,4167.21,1.11253,0.92071,1.34851,0.82114,0.8071,0.86375,0.5575,1.16583,0.80848,1.48129,0.0009902,0.0009902,0.0009902
53,4239.53,1.11546,0.92602,1.34872,0.82756,0.81938,0.86639,0.57596,1.13729,0.78439,1.43504,0.0009704,0.0009704,0.0009704
54,4328.58,1.11512,0.90657,1.34834,0.81185,0.81803,0.86627,0.55324,1.1623,0.79139,1.4597,0.0009506,0.0009506,0.0009506
55,4421.7,1.11146,0.9059,1.3416,0.82916,0.81787,0.87246,0.57175,1.1582,0.77993,1.44199,0.0009308,0.0009308,0.0009308
56,4507.83,1.0957,0.89444,1.33024,0.84011,0.83592,0.88315,0.57221,1.16691,0.75765,1.45288,0.000911,0.000911,0.000911
57,4589.69,1.09803,0.88778,1.33603,0.81282,0.84146,0.87849,0.58156,1.14408,0.74113,1.42923,0.0008912,0.0008912,0.0008912
58,4670.86,1.09677,0.90054,1.32744,0.83909,0.81516,0.88156,0.58372,1.1331,0.73289,1.43263,0.0008714,0.0008714,0.0008714
59,4753.46,1.07941,0.88569,1.31702,0.85554,0.81375,0.89025,0.58575,1.14548,0.75666,1.42366,0.0008516,0.0008516,0.0008516
60,4845.26,1.08892,0.86512,1.32462,0.82792,0.83592,0.88292,0.5781,1.13473,0.75459,1.42316,0.0008318,0.0008318,0.0008318
61,4961.67,1.07732,0.87856,1.31252,0.84164,0.83078,0.88748,0.59323,1.12694,0.74442,1.42452,0.000812,0.000812,0.000812
62,5083.6,1.06032,0.85022,1.30662,0.83306,0.84257,0.87892,0.59056,1.10996,0.74143,1.41315,0.0007922,0.0007922,0.0007922
63,5202.71,1.07554,0.85365,1.31283,0.8382,0.83851,0.88815,0.58867,1.12231,0.73996,1.43419,0.0007724,0.0007724,0.0007724
64,5287.17,1.06798,0.83954,1.30807,0.8274,0.85255,0.88935,0.60061,1.09935,0.71824,1.4158,0.0007526,0.0007526,0.0007526
65,5358.24,1.05722,0.85351,1.30553,0.84701,0.84812,0.88361,0.59961,1.10852,0.71791,1.41151,0.0007328,0.0007328,0.0007328
66,5436.87,1.05184,0.8323,1.29538,0.8494,0.80034,0.87515,0.58444,1.13283,0.74399,1.41984,0.000713,0.000713,0.000713
67,5509.97,1.05454,0.83904,1.2968,0.83219,0.84117,0.87896,0.57999,1.13408,0.70937,1.4425,0.0006932,0.0006932,0.0006932
68,5582.9,1.04678,0.82237,1.28893,0.86961,0.81929,0.89426,0.60266,1.10535,0.70519,1.40396,0.0006734,0.0006734,0.0006734
69,5655.26,1.03221,0.82171,1.28774,0.84048,0.85033,0.89666,0.6099,1.09242,0.70758,1.39683,0.0006536,0.0006536,0.0006536
70,5727.76,1.03305,0.80687,1.28406,0.84585,0.85255,0.89731,0.60477,1.12801,0.70827,1.41693,0.0006338,0.0006338,0.0006338
71,5800.1,1.03018,0.81029,1.27897,0.81441,0.84812,0.89033,0.59854,1.10549,0.70841,1.41193,0.000614,0.000614,0.000614
72,5873.14,1.03263,0.80663,1.28483,0.8622,0.8082,0.89308,0.59856,1.11461,0.71245,1.41285,0.0005942,0.0005942,0.0005942
73,5946.86,1.0204,0.80287,1.27793,0.83066,0.86469,0.89941,0.5952,1.11976,0.70969,1.43263,0.0005744,0.0005744,0.0005744
74,6019.18,1.01814,0.79343,1.27299,0.85846,0.84727,0.89897,0.6093,1.09993,0.68436,1.41403,0.0005546,0.0005546,0.0005546
75,6090.65,1.0079,0.77403,1.26197,0.84225,0.8592,0.90084,0.60678,1.09648,0.68814,1.40106,0.0005348,0.0005348,0.0005348
76,6166.98,1.00078,0.7902,1.25551,0.82472,0.86918,0.90717,0.61138,1.10772,0.68582,1.40287,0.000515,0.000515,0.000515
77,6240.52,0.99981,0.76869,1.25448,0.87974,0.82816,0.90548,0.60825,1.09359,0.68312,1.40852,0.0004952,0.0004952,0.0004952
78,6312.54,0.98078,0.75656,1.24741,0.85262,0.84368,0.90086,0.60873,1.10564,0.68375,1.40731,0.0004754,0.0004754,0.0004754
79,6384.8,0.96871,0.74312,1.23992,0.83975,0.85401,0.89889,0.60682,1.10249,0.67613,1.4064,0.0004556,0.0004556,0.0004556
80,6456.4,0.98337,0.75776,1.24958,0.86414,0.83149,0.89876,0.60874,1.09097,0.68234,1.40207,0.0004358,0.0004358,0.0004358
81,6528.12,0.97904,0.75252,1.24749,0.85364,0.84812,0.89852,0.6078,1.09513,0.6836,1.40639,0.000416,0.000416,0.000416
82,6599.67,0.97456,0.74036,1.24445,0.84626,0.87264,0.90727,0.61457,1.09582,0.67715,1.40937,0.0003962,0.0003962,0.0003962
83,6675.74,0.96957,0.74423,1.24678,0.83429,0.85401,0.89892,0.61212,1.09198,0.68843,1.40215,0.0003764,0.0003764,0.0003764
84,6795.11,0.97423,0.7367,1.24608,0.86038,0.854,0.90223,0.6164,1.08974,0.67305,1.40263,0.0003566,0.0003566,0.0003566
85,6917.28,0.96732,0.73198,1.2359,0.85431,0.85366,0.90425,0.60756,1.10359,0.66782,1.41191,0.0003368,0.0003368,0.0003368
86,7025.28,0.96269,0.73505,1.234,0.84501,0.86435,0.90122,0.60434,1.10712,0.67517,1.41288,0.000317,0.000317,0.000317
